DisNo.,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI
2004-0602-PHL,No,No,No,,,,,,,,61.98958593432169
2004-0607-IDN,No,Yes,No,670.0,,,,,55000.0,88725.0,61.98958593432169
2004-0609-PHL,Yes,Yes,No,17278.0,,,,,78200.0,126150.0,61.98958593432169
2004-0610-PNG,No,No,No,,,,,,,,61.98958593432169
2004-0615-PAN,No,Yes,No,20.0,,,,,,,61.98958593432169
2004-0618-PHL,No,No,No,,,,,,34000.0,54848.0,61.98958593432169
2004-0618-TWN,No,No,No,,,,,,,,61.98958593432169
2004-0619-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0620-DZA,No,No,No,,,,,,,,61.98958593432169
2004-0624-ARG,No,No,No,,,,,,,,61.98958593432169
2004-0626-IRN,No,No,No,,,,,,,,61.98958593432169
2004-0633-ALB,No,No,No,,,,,,173.0,279.0,61.98958593432169
2004-0634-PHL,No,No,No,,,,,,,,61.98958593432169
2004-0635-MYS,No,No,No,,,,,,10000.0,16132.0,61.98958593432169
2004-0635-THA,No,No,No,,,,,,175000.0,282305.0,61.98958593432169
2004-0652-LKA,No,No,No,,,,,,,,61.98958593432169
2004-0659-BGD,No,No,No,,,,,,500000.0,806587.0,61.98958593432169
2004-0659-IDN,No,No,No,,,,225000.0,362964.0,4451600.0,7181206.0,61.98958593432169
2004-0659-IND,Yes,No,No,,,,5000.0,8066.0,1022800.0,1649955.0,61.98958593432169
2004-0659-KEN,No,No,No,,,,,,100000.0,161317.0,61.98958593432169
2004-0659-LKA,Yes,No,No,,,,,,1316500.0,2123744.0,61.98958593432169
2004-0659-MDV,Yes,No,Yes,,,,,,470100.0,758353.0,61.98958593432169
2004-0659-MMR,No,No,No,,,,,,500000.0,806587.0,61.98958593432169
2004-0659-MYS,Yes,No,No,,,,,,500000.0,806587.0,61.98958593432169
2004-0659-SOM,Yes,No,No,,,,,,100000.0,161317.0,61.98958593432169
2004-0659-SYC,No,No,No,,,,,,30000.0,48395.0,61.98958593432169
2004-0659-THA,Yes,No,No,,,,250000.0,403294.0,1000000.0,1613174.0,61.98958593432169
2004-0659-TZA,No,No,No,,,,,,,,61.98958593432169
2004-0661-AGO,No,No,No,,,,,,,,61.98958593432169
2004-0662-AUS,No,No,No,,,,,,15000.0,24198.0,61.98958593432169
2004-0669-DEU,No,No,No,,,,8000.0,12905.0,12000.0,19358.0,61.98958593432169
2004-0670-SVN,No,No,No,,,,1000.0,1613.0,10000.0,16132.0,61.98958593432169
2004-0671-BDI,No,No,No,,,,,,,,61.98958593432169
2004-0674-AUS,No,No,No,,,,30000.0,48395.0,50000.0,80659.0,61.98958593432169
2004-0675-USA,No,No,No,,,,370000.0,596874.0,500000.0,806587.0,61.98958593432169
2004-0676-VEN,No,No,No,,,,,,,,61.98958593432169
2004-0677-CHN,No,No,No,,,,,,4000.0,6453.0,61.98958593432169
2004-0678-BGD,No,No,No,,,,,,,,61.98958593432169
2004-0679-BGD,No,No,No,,,,,,,,61.98958593432169
2004-0680-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0730-DEU,No,No,No,,,,100000.0,161317.0,130000.0,209713.0,61.98958593432169
2004-0731-USA,No,No,No,,,,200000.0,322635.0,,,61.98958593432169
2004-0734-IND,No,No,No,,,,,,276000.0,445236.0,61.98958593432169
2004-0734-PAK,No,No,No,,,,,,,,61.98958593432169
2004-0735-KHM,No,No,No,,,,,,,,61.98958593432169
2004-0735-VNM,No,No,No,,,,,,,,61.98958593432169
2004-0738-GIN,Yes,No,No,,,,,,,,61.98958593432169
2004-0740-USA,No,No,No,,,,450000.0,725928.0,,,61.98958593432169
2004-0741-GRC,No,No,No,,,,,,340000.0,548479.0,61.98958593432169
2004-9017-ZAF,No,No,Yes,,,,,,,,61.98958593432169
2004-9063-PER,No,No,Yes,,,,,,,,61.98958593432169
2004-9085-SOM,No,No,No,,,,,,,,61.98958593432169
2004-9288-KEN,No,No,No,,,,,,,,61.98958593432169
2004-9332-CUB,No,No,No,,,,,,3139.0,5064.0,61.98958593432169
2004-9363-HND,No,No,Yes,,,,,,,,61.98958593432169
2004-9480-AGO,No,No,No,,,,,,,,61.98958593432169
2004-9576-BOL,No,No,Yes,,,,,,,,61.98958593432169
2004-9577-TZA,No,No,No,,,,,,,,61.98958593432169
2004-9704-PRT,No,No,No,,,,,,1338136.0,2158646.0,61.98958593432169
2004-9705-BRA,No,No,No,,,,,,1650000.0,2661737.0,61.98958593432169
2005-0003-BRA,No,No,No,,,,,,,,64.09274025742687
2005-0011-DEU,No,No,No,,,,200000.0,312048.0,270000.0,421265.0,64.09274025742687
2005-0011-DNK,No,No,No,,,,900000.0,1404215.0,1300000.0,2028311.0,64.09274025742687
2005-0011-EST,No,No,No,,,,26000.0,40566.0,130000.0,202831.0,64.09274025742687
